"region","customer_id","customer_name","total_sales","row_number_rank","rank_with_gaps","dense_rank_no_gaps"
"Central","TC-20980","Tamara Chand","18437.138","1","1","1"
"Central","AB-10105","Adrian Barton","12181.594","2","2","2"
"Central","BM-11140","Becky Martin","10539.896","3","3","3"
"Central","SC-20095","Sanjit Chand","9900.19","4","4","4"
"Central","HM-14860","Harry Marie","6621.4788","5","5","5"
"Central","HW-14935","Helen Wasserman","6100.746","6","6","6"
"Central","AR-10540","Andy Reiter","5802.70","7","7","7"
"Central","SB-20290","Sean Braxton","5579.940","8","8","8"
"Central","TT-21460","Tonja Turnell","5301.688","9","9","9"
"Central","LA-16780","Laura Armstrong","5076.470","10","10","10"
"Central","AA-10315","Alex Avila","4780.552","11","11","11"
"Central","SD-20485","Shirley Daniels","4724.420","12","12","12"
"Central","CP-12085","Cathy Prescott","4697.37","13","13","13"
"Central","KL-16645","Ken Lonsdale","4517.295","14","14","14"
"Central","PO-19180","Philisse Overcash","3910.585","15","15","15"
"Central","ZC-21910","Zuschuss Carroll","3869.806","16","16","16"
"Central","DW-13480","Dianna Wilson","3760.41","17","17","17"
"Central","BE-11335","Bill Eplett","3501.896","18","18","18"
"Central","HK-14890","Heather Kirkland","3300.194","19","19","19"
"Central","BM-11650","Brian Moss","3249.753","20","20","20"
"Central","RL-19615","Rob Lucas","3172.707","21","21","21"
"Central","BW-11110","Bart Watters","3163.534","22","22","22"
"Central","BD-11320","Bill Donatelli","2924.55","23","23","23"
"Central","CB-12025","Cassandra Brandow","2903.213","24","24","24"
"Central","AG-10675","Anna Gayman","2894.3596","25","25","25"
"Central","AS-10285","Alejandro Savely","2879.872","26","26","26"
"Central","TP-21130","Theone Pippenger","2861.756","27","27","27"
"Central","RP-19390","Resi Pцlking","2860.108","28","28","28"
"Central","TS-21370","Todd Sumrall","2799.96","29","29","29"
"Central","SC-20020","Sam Craven","2785.3796","30","30","30"
"Central","CM-12715","Craig Molinari","2772.1004","31","31","31"
"Central","JE-15745","Joel Eaton","2757.378","32","32","32"
"Central","SA-20830","Sue Ann Reed","2743.008","33","33","33"
"Central","LF-17185","Luke Foster","2680.692","34","34","34"
"Central","DK-12895","Dana Kaydos","2660.624","35","35","35"
"Central","JE-16165","Justin Ellison","2657.81","36","36","36"
"Central","MH-18115","Mick Hernandez","2656.137","37","37","37"
"Central","EP-13915","Emily Phan","2546.4048","38","38","38"
"Central","MP-17965","Michael Paige","2493.720","39","39","39"
"Central","LP-17095","Liz Preis","2488.907","40","40","40"
"Central","JK-16090","Juliana Krohn","2479.96","41","41","41"
"Central","FC-14245","Frank Carlisle","2377.56","42","42","42"
"Central","AG-10270","Alejandro Grove","2374.73","43","43","43"
"Central","SZ-20035","Sam Zeldin","2368.723","44","44","44"
"Central","TS-21655","Trudy Schmidt","2345.114","45","45","45"
"Central","NC-18340","Nat Carroll","2337.748","46","46","46"
"Central","RD-19660","Robert Dilbeck","2275.10","47","47","47"
"Central","MP-18175","Mike Pelletier","2236.556","48","48","48"
"Central","HG-15025","Hunter Glantz","2132.984","49","49","49"
"Central","DF-13135","David Flashing","2067.796","50","50","50"
"Central","RW-19540","Rick Wilson","2049.534","51","51","51"
"Central","TH-21115","Thea Hudgings","2027.188","52","52","52"
"Central","MG-17650","Matthew Grinstein","2017.372","53","53","53"
"Central","JD-16150","Justin Deggeller","2005.36","54","54","54"
"Central","SB-20185","Sarah Brown","1988.078","55","55","55"
"Central","SJ-20125","Sanjit Jacobs","1977.470","56","56","56"
"Central","BB-11545","Brenda Bowman","1971.910","57","57","57"
"Central","AA-10645","Anna Andreadi","1971.46","58","58","58"
"Central","RA-19915","Russell Applegate","1943.754","59","59","59"
"Central","SC-20695","Steve Chapman","1937.608","60","60","60"
"Central","BE-11410","Bobby Elias","1918.326","61","61","61"
"Central","CL-12565","Clay Ludtke","1909.08","62","62","62"
"Central","RB-19465","Rick Bensley","1893.406","63","63","63"
"Central","HG-14965","Henry Goldwyn","1890.866","64","64","64"
"Central","CJ-12010","Caroline Jumper","1875.128","65","65","65"
"Central","SC-20725","Steven Cartwright","1841.812","66","66","66"
"Central","GH-14410","Gary Hansen","1831.976","67","67","67"
"Central","JP-15520","Jeremy Pistek","1830.664","68","68","68"
"Central","IL-15100","Ivan Liston","1827.294","69","69","69"
"Central","MH-17455","Mark Hamilton","1825.028","70","70","70"
"Central","SN-20710","Steve Nguyen","1813.5292","71","71","71"
"Central","AC-10450","Amy Cox","1793.98","72","72","72"
